Genres
"['britpop', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']"
"['modern alternative rock', 'modern rock', 'rock']"
"['alternative dance', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']"
"['britpop', 'sheffield indie']"
"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock']"
[]
"['alternative country', 'country rock', 'deep new americana', 'folk', 'indie folk', 'nashville americana', 'new americana', 'roots rock', 'stomp and holler']"
"['alternative rock', 'brooklyn indie', 'denton tx indie', 'freak folk', 'garage psych', 'indie garage rock', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop']"
"['alternative pop', 'alternative rock', 'art rock', 'indie rock', 'new wave', 'permanent wave', 'pop rock', 'post-punk', 'power pop', 'punk', 'rock', 'roots rock']"
['spanish post-punk']
"['indie folk', 'modern southern rock', 'new americana', 'roots americana']"
"['brooklyn indie', 'garage psych']"
"['alternative pop', 'alternative rock', 'art rock', 'boston rock', 'dayton indie', 'dream pop', 'indie rock', 'lilith', 'lo-fi', 'post-punk', 'rock']"
['london indie']
"['alternative rock', 'britpop', 'garage rock', 'indie rock', 'leicester indie', 'modern rock', 'new rave', 'rock']"
"['alabama indie', 'art pop', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock']"
"['english indie rock', 'modern alternative rock', 'modern rock']"
"['classic rock', 'permanent wave', 'punk', 'rock']"
"['bubblegrunge', 'indie rock']"
"['alternative pop', 'alternative rock', 'grunge', 'indie rock', 'lo-fi', 'modern rock', 'noise pop', 'noise rock', 'permanent wave', 'post-hardcore', 'post-punk', 'power pop', 'punk', 'rock']"
"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
['filter house']
"['dutch pop', 'indie soul']"
"['alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'modern rock', 'new rave', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']"
"['swedish alternative rock', 'swedish indie rock']"
"['nashville sound', 'oklahoma country', 'rock-and-roll', 'rockabilly']"
"['shimmer pop', 'shiver pop', 'southampton indie']"
"['compositional ambient', 'neo-classical']"
"['bubblegrunge', 'indie garage rock', 'indie punk', 'indie rock']"
"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
"['cumbia', 'latin alternative', 'latin rock', 'pop electronico']"
"['alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']"
"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
"['canadian indie', 'indie rock', 'modern alternative rock', 'modern rock', 'noise pop', 'noise rock', 'vancouver indie', 'vancouver punk']"
"['modern alternative rock', 'modern rock']"
"['alternative dance', 'dance-punk', 'electronica', 'indie rock', 'modern rock', 'new rave']"
"['indie folk', 'indie pop', 'indie rock', 'portland indie', 'small room']"
"['alternative rock', 'art pop', 'art rock', 'lilith', 'melancholia', 'permanent wave', 'piano rock', 'rock', 'singer-songwriter']"
"['art rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']"
"['dance pop', 'pop', 'post-teen pop']"
"['indie anthem-folk', 'modern alternative rock', 'modern rock', 'rock']"
['irish indie']
['derby indie']
"['chicago indie', 'indie garage rock', 'indie rock', 'modern power pop']"
"['alternative dance', 'dance-punk', 'electro house', 'filter house', 'new rave', 'ninja']"
"['alternative rock', 'big beat', 'britpop', 'dance rock', 'new wave', 'rock', 'scottish indie']"
